address,ETH_balance,last_balance_change_BlockNumber,updated_BlockNumber
0xa646e29877d52b9e2de457eca09c724ff16d0a2b,170798.347970953,7303996,7450176
0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,169031.99351958392,5357829,7450176
0x6812f391fd38375316f6613ee1b46b77ad846c52,164997.84801,5357833,7450176
0x11577a8a5baf1e25b9a2d89f39670f447d75c3cd,162015.7517346397,7440252,7450176
0x9295022fb35b28c65f7efaf678254823d3acbe53,159000.004,7014440,7450176
0xd3bc722ebd74d8f4bc1e732e02db0133041d3364,157336.10328,7338641,7450176
0xe7ec419cbd0f5811dce7141742b665ff1ef9284c,156929.6288335566,7446338,7450176
0x3cceb0d443ca4b1320ae4fa60a053eac163ca512,151133.05873101464,6964860,7450176
0x282edab8a933bc1c02649fe3ea2842ecbe9928a7,151028.16809175,7270322,7450176
0x4baf012726cb5ec7dda57bc2770798a38100c44d,150000.10842474,5357842,7450176
0x8b83b9c4683aa4ec897c569010f09c6d04608163,150000,6803309,7450176
0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d,150000,6803922,7450176
0x367989c660881e1ca693730f7126fe0ffc0963fb,150000,6803326,7450176
0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,150000,6869063,7450176
0xfe01a216234f79cfc3bea7513e457c6a9e50250d,150000,6803910,7450176
0x19d599012788b991ff542f31208bab21ea38403e,150000,6803796,7450176
0xe35b0ef92452c353dbb93775e0df97cedf873c72,150000,6803292,7450176
0xb8b6fe7f357adeab950ac6c270ce340a46989ce1,150000,6803154,7450176
0xd65bd7f995bcc3bdb2ea2f8ff7554a61d1bf6e53,150000,6802456,7450176
0x7712bdab7c9559ec64a1f7097f36bc805f51ff1a,150000,6802913,7450176
0x0f00294c6e4c30d9ffc0557fec6c586e6f8c3935,150000,6803861,7450176
0xe04cf52e9fafa3d9bf14c407afff94165ef835f7,150000,6803803,7450176
0xfd898a0f677e97a9031654fc79a27cb5e31da34a,150000,6803883,7450176
